id,name,tags,recommended_duration,map_x,map_y,description
1,南门游客中心,"service;start;family;elderly",5,12,82,灵山胜境游客入园与导览服务入口，适合作为路线起点
2,灵山大照壁,"history;photo;culture",8,21,74,景区入口处的标志性门户景观，被资料称为华夏第一壁
3,佛足坛,"history;culture;prayer;elderly",10,31,64,位于菩提大道起点，是进入核心景区前的重要朝圣节点
4,五智门,"history;photo;culture",10,39,55,核心景区门户，位于景区中轴线上
5,菩提大道,"nature;culture;elderly",12,47,48,连接五智门与九龙灌浴广场的中轴线步道
6,九龙灌浴,"history;photo;family;show",25,55,39,灵山胜境标志性动态景观，是游客必看的核心景点之一
7,降魔成道浮雕,"history;research;family",12,61,33,九龙灌浴北侧的巨型佛教故事浮雕，展示佛陀成道历程
8,阿育王柱,"history;photo;culture",10,66,28,位于祥符禅寺正前方，传递佛教和平精神的石质地标
9,祥符禅寺,"history;culture;research;elderly",30,72,22,小灵山佛教文化发源地，适合讲解千年佛教传承
10,佛手广场,"photo;prayer;family",12,78,36,天下第一掌为灵山大佛右手复制景观，寓意沾福气、保平安
11,灵山大佛,"history;photo;culture;must",40,83,18,1997年落成开光，是灵山胜境最具代表性的标志性建筑
12,灵山梵宫,"history;photo;research;indoor",50,59,16,2009年正式开放，汇集木雕、琉璃、油画、景泰蓝等传统工艺
13,五印坛城,"history;photo;research;prayer",35,44,18,与灵山梵宫隔湖相望，适合体验藏传佛教文化与转经祈福
14,百子戏弥勒,"family;photo;prayer",10,69,43,青铜群雕呈现欢喜、包容的民俗文化氛围，亲子游客关注度高
